ID;Birth;Death;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
CDN;1978;0;1;0;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0
CNS;1978;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0
CUN;1978;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1
DPC;1978;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;1;0;1;1;0;0;1;0;0;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;0;1
FID;1979;0;0;1;0;1;1;1;0;1;0;0;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0
HCH;1979;0;0;1;0;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1
HDI;1979;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
HDS;1979;0;0;0;0;0;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
HNL;1979;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;0;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0;1;0;1;1
HVA;1979;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0
KAD;1979;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KIH;1979;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;0;1;1;1;1;0;0;0;0;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;0
KIP;1979;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KIR;1979;0;0;0;0;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0
KNH;1979;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NFD;1980;0;0;0;0;0;0;1;1;0;1;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;1;1;0;1;0;1;1;0;1;0;1;0;0;0;0;0
NNA;1980;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
PKA;1980;0;0;0;0;1;1;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SFL;1980;0;0;0;0;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;1;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0
TLI;1981;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1;0;1;0
VBD;1981;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VXC;1981;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0
XBD;1981;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XDH;1981;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
AV6;1982;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;0;1;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0
CT9;1982;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DC6;1982;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0
DP4;1982;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
FT5;1982;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
HJ9;1982;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HX4;1982;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LD7;1983;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0
LP9;1983;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ND3;1983;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SF5;1983;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;1;0;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1
VF4;1983;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;1;1;1;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0
XJ5;1983;0;0;0;0;0;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;1;0;0
238;1984;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
272;1984;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
292;1984;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;1;1;1;1;0;0;0;1;1;0;0;1;0;1;1;1;1;0;0;1;0;1;0
514;1984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
630;1984;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
993;1984;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ABFJ;1985;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
ABLV;1985;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0
ABTX;1985;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADFH;1986;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0
ADFZ;1986;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADJF;1986;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AFTD;1986;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AFZF;1986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AHLZ;1986;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AJBZ;1987;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;1;0;0;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;1;1
AJFA;1987;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALJN;1987;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANZC;1988;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0
APDP;1988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
APJN;1988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
