ID;Birth;Death;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
ACY;1977;0;0;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;1;1;1;1;0;1;0;1;0;1;1;0;0
ADR;1977;0;0;0;0;0;0;1;1;0;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;0;0;1;1;1;1;1;1;0;1;0;1;0;1;0;0;0
AFR;1977;0;0;0;0;0;0;1;1;0;1;0;1;0;1;1;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AIB;1977;0;1;1;1;0;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
ASK;1977;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
AUH;1977;0;0;0;0;0;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0;0;1;0;0;0;1;0;1;1;1;1;1;0;0;0;1;0;0;1;0;0
AXK;1977;0;0;0;0;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0
BVR;1977;0;0;0;0;0;1;1;0;1;0;1;1;0;1;0;1;1;0;1;1;1;0;0;0;0;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;0
CDD;1978;0;0;0;0;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;0;1;0;0;0;1;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0
CPV;1978;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0
CRZ;1978;0;0;0;1;0;0;1;1;0;1;0;1;1;0;1;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DKP;1978;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1
DPB;1978;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;1;1;0;0;1;0;1;1;1;1;1;1;0;1;1
FBZ;1979;0;0;0;0;0;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;1;0;1;1;0;1;0;1;0;0;0;0;0
FIK;1979;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FLK;1979;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FLN;1979;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0
HSI;1979;0;0;0;0;1;0;1;1;0;1;0;0;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0
KCL;1979;0;0;0;0;1;0;1;1;0;0;0;0;0;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0
KKD;1979;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LKK;1980;0;0;0;0;1;1;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;1;1
NAX;1980;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NCL;1980;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;1;1
NDL;1980;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NFA;1980;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
PSH;1980;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;1;0;1;1;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
PVA;1980;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
PXL;1980;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;1;0;0;1;1;0;0;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0
SDN;1980;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;1;1;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0
SIS;1980;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
SKP;1980;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SLV;1980;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;0;1;0;1;1;0;0;0;1;1;1;0;1;1;1;0;1;0;1;0;1;1;1;0
TAB;1981;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;1;1;1;1;1;1;0;1;0;1;0;0;0
TAV;1981;0;0;0;0;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;0;1;1;0;0;0;1;1;1;0;1;1;1;1;1;0;1;1;1;0;0;1
TXN;1981;0;0;0;0;0;0;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;1
VAS;1981;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
VBH;1981;0;0;0;0;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;1;0;0;0;1;0;1;1;1;1;0;0;0;0;0
VLC;1981;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0
XNP;1981;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;1;1;0;0;1;0;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0
XSC;1981;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0
ZBB;1981;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;1;0;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;1;0;0
ZBK;1981;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;0;0;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0
ZVK;1981;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;0;1;1;0;0;0;0;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0
ZVS;1981;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1
AK3;1982;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
AK4;1982;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AK9;1982;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;0;0;0;1;0;1;1;1;1;0;1;0;1;0;0;0;0;0
AP5;1982;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CA4;1982;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CL5;1982;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CL6;1982;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;1;1;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
JC5;1982;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JJ4;1982;0;0;0;0;0;0;1;1;1;1;0;1;1;1;0;1;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JK5;1982;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;1;1;1;0;1;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
