ID;Birth;Death;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
AAH;1977;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;0;1;1;1;0;0;1;1;1;0;0;0
AAP;1977;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;1;0;1;0;1;1;1;0;1;1;0;1;0;0;0;0;1
AAR;1977;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1
ABB;1977;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0
ABD;1977;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;1;1;0;1;0;1;1;0;0;0;0;1;1;0;1;1;1;1;0;1;1;0;1;0;0;0
ACV;1977;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADB;1977;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADH;1977;0;0;0;1;1;0;1;1;0;0;1;1;0;1;1;1;1;1;1;1;0;1;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
ADN;1977;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
AFH;1977;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AGI;1977;0;0;1;0;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;1;1
AGY;1977;0;0;1;0;0;1;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AIU;1977;0;0;0;0;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AIZ;1977;0;0;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
AKC;1977;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AKP;1977;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AKZ;1977;0;0;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0
ALH;1977;0;0;1;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;0;0;0;0
ALT;1977;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
AND;1977;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0
ANI;1977;0;0;1;0;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
ANL;1977;0;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ANV;1977;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
ANZ;1977;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
APD;1977;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
APG;1977;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;0;1
APK;1977;0;0;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;0;1;0;1
ASA;1977;0;1;1;1;1;0;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;1;0;0;1;1;1;1;1;1;1;0;0;0;0;1;0
ASN;1977;0;1;0;1;0;1;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;1;0;1;1
ATK;1977;0;0;0;0;1;0;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;0;0;1
AUB;1977;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;0;0;0;1;1;0;1;1;0;1;1;0;1;0;1;0;0;0
AUI;1977;0;0;0;1;1;0;1;1;0;0;0;1;0;1;1;1;0;0;1;0;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
AVT;1977;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AVV;1977;0;0;1;0;0;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AVY;1977;0;0;0;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1
AVZ;1977;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AXC;1977;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0
AYH;1977;0;0;0;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0
AYU;1977;0;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AYX;1977;0;0;0;0;1;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AZC;1977;0;0;0;1;0;0;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AZT;1977;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;1;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BLD;1977;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BLG;1977;0;0;0;0;0;1;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BLL;1977;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BNV;1977;0;0;1;1;0;0;1;0;1;1;1;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;1;0;0;1;1;1;0;1;0;1;0;1;0;0;0
BPH;1977;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BPT;1977;0;0;0;0;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRC;1977;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRD;1977;0;0;1;0;0;1;1;0;1;0;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BRS;1977;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1
BRT;1977;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;1;1;1;1;1;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0
BSF;1977;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BSL;1977;0;0;0;1;1;1;0;1;0;1;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BTH;1977;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BTR;1977;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BUL;1977;0;0;1;0;0;1;0;0;1;1;0;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0
BUT;1977;0;0;0;0;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BUV;1977;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;1
BVZ;1977;0;0;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BXU;1977;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BXX;1977;0;1;0;0;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1
BYD;1977;0;0;0;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0
BYN;1977;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0
BYY;1977;0;0;0;0;1;1;0;0;0;1;1;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BZL;1977;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BZP;1977;0;0;0;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BZT;1977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BZU;1977;0;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;1;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0
BZY;1977;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAA;1978;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAS;1978;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAT;1978;0;1;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CBS;1978;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;1;0;1;1;1;1;1;1;0;0;1;0;0;1;1
